Date,Additions,Removals,Amendments,Duplicates
2024-02-15,227,-15,622,908
2024-02-26,240,-29,1436,934
2024-03-04,237,-521,859,282
2024-03-11,37,-17,187,280
2024-03-18,25,-2,128,278
2024-03-25,30,-2,18,278
2024-04-01,23,-23,306,284
2024-04-08,41,-32,333,279
2024-04-15,30,-34,205,277
2024-04-22,32,-21,171,275
2024-04-30,61,-24,895,285
2024-05-06,9,-3,41,285
2024-05-13,14,-6,35,280
2024-05-20,26,-4,16,280
2024-05-27,60,0,27,282
2024-06-03,40,-1,42,282
2024-06-10,44,-1,24,284
2024-06-17,32,-2,20,283
2024-06-24,15,0,11,285
2024-07-01,21,-3,10,287
2024-07-08,17,-1,14,287
2024-07-15,27,-1,22,287
2024-09-02,118,-8,420,289
2024-09-09,14,-5,114,288
2024-09-16,17,-2,299,286
2024-09-23,21,-1,72,286
2024-09-30,24,-10,128,284
2024-10-07,22,-2,108,284
2024-10-14,22,-1,105,284
2024-10-21,17,0,76,284
2024-10-28,21,-1,124,284
2024-11-04,13,-2,92,283
2024-11-11,13,-1,122,283
2024-11-18,23,-5,150,285
2024-11-25,21,-2,62,285
2024-12-02,6,0,50,285
2024-12-09,18,0,70,286
2024-12-16,30,-21,269,283
2024-12-23,48,-34,419,281
2024-12-30,17,-32,265,275
2025-01-06,27,-22,193,278
2025-01-13,23,-14,149,278
2025-01-20,25,-6,162,278
2025-01-27,15,-4,63,278
2025-02-03,26,-6,61,282
2025-02-10,9,-2,73,282
2025-02-17,27,-3,76,282
2025-02-24,25,-6,121,280
2025-03-03,27,-5,124,280
2025-03-10,34,-4,124,281
2025-03-17,15,-2,23,283
2025-03-24,22,-2,20,283
2025-03-31,16,0,23,283
2025-04-07,21,-1,26,283
2025-04-14,34,-3,38,283
2025-04-21,16,0,30,283
2025-04-28,25,-3,27,279
2025-05-05,34,-2,35,279
2025-05-12,15,-2,57,281
2025-05-19,19,-3,55,281
2025-05-26,21,0,77,281
2025-06-02,19,-1,47,281
2025-06-09,26,-1,63,281
2025-06-16,21,-2,106,281
2025-06-23,41,-1,162,281
2025-06-30,18,-13,94,281
2025-07-14,56,-4,204,287
2025-07-21,17,-1,48,287
2025-07-28,27,-2,23,287
2025-08-04,13,-1,21,287
2025-08-11,27,-187,32,274
2025-08-18,19,-5,36,274
2025-08-25,27,-1,23,276
2025-09-01,50,-1072,182,211
2025-09-08,153,-4,109,213
2025-09-15,77,-3,136,213
2025-09-22,89,-10,347,213
2025-09-29,32,-3,87,216
2025-10-06,14,-13,36,217
2025-10-13,0,-1,0,217
2025-10-20,0,0,1,217
2025-10-27,0,0,1,217
2025-11-03,0,0,2,217
2025-11-10,0,-1,9,217
2025-11-17,0,0,4,217
2025-11-24,57,-2,62,217
2025-12-01,11,-3,36,217
2025-12-08,28,-3,60,215
